Tenant Brokers,Tenant Brokerage Firms,Tenant SIC,Tenant Naics,Tenant Industry,Tenant Parent,Tenant Status,Tenant Websites,Tenant Phone Number,Tenant Revenue (USD),Tenant Employees,Landlord Brokers,Landlord Brokerage Firms,Volts,Parking Notes,Occupancy %,Lot Size,Elevators,Amps,Retail Anchor,Parking Lot Type,Parking Ratio,Building Floors,Building Size,Submarket,Property Subtype,Property Type,Building Name,Building Class,State,Zip Code,Cross Streets,Days On Market,Street Frontage,Corner Unit,Vented Space,Selling Basement,Office Portion,Rail,Loading Docks,Doors,Clear Height,Sprinkler,Load Factor,Suite,Retail Notes,Last Updated,Date Created,Renewal Options,Rent Review Dates,Commencement Date,Total Transaction Size,Office Portion Rent (USD) (per year),Blended Rent (USD) (per year),Sublessor,Break Option Type,Pro Rata Percent,Annual Taxes,Operating Expenses Notes,Operating Expenses (USD),Operating Expenses Type,Concessions Notes,Current Rent (USD),Sublease,Work Type,Additional Rent Free,Percentage Rent,Asking Rent (Gross Annual) (USD),Starting Rent (Gross Annual) (USD),Asking Rent (USD) (per year),Free Rent Type,Lease Type,Year Built,Year Renovated,Tenant Headquarters,Tenant Tickers,Rent Bump Year,Execution Date,Break Option Dates,Current Landlord,Transaction Quarter,Street Address,City,Tenant Name,Space Type,Tenant Ownership,Transaction SQFT,Transaction Type,Starting Rent (USD) (per year),Rent Schedule (USD),Rent Bump Dollar (USD),Rent Bump Percent,Free Rent,Work Value (USD),Effective Rent (USD) (per year),Floors Occupied,Lease Term,Expiration Date,Comments,Geo Point
,,1389,213112,Energy,,Operating,http://www.halliburton.com,+1 281 871 2699,22408000000,55000,,,,,,,,,,,,,565414,Oklahoma,,Office,Oklahoma Tower,B,OK,73102,,,,,,,,,,,,,,"1900,2000",,2016-08-24,2016-08-24,,,2016-01-01,,,,,,,,,,,,,No,TI,,,,,,,Gross,1982,1994,"3000 N Sam Houston Pkwy E Houston, TX 77032-3219, United States",HAL (NYSE),,2015-09-01,,Oklahoma Tower Realty Investors,2015 - Q3,210 Park Avenue,Oklahoma City,Halliburton,Office,Public,38892,Renewal/Contraction,22,,,,,1.50,21.50,,3 years,2018-12-31,,"(35.4685257, -97.517327)"
,,8742,5416,Software & Information,,Operating,https://www.cisco.com/,+1 408 526 4000,52289000000,83300,,,,,,,,,,,,5,101217,Oklahoma,,Office,Grand Center,B,OK,73112,,,,,,,,,,,,,,130,,2021-04-20,2017-01-12,,,2016-08-01,,,,,,,,,,,,,No,TI,,,,,,,Full Service,1982,,"170 West Tasman Dr San Jose, CA 95134-1706, United States",CSCO (NASD),,2016-07-13,,,2016 - Q3,5400 North Grand Boulevard,Oklahoma City,Cisco,Office,Public,3749,Renewal,17,,0.50/1y,,0.0 months,2,16.25, Ground,2 years,2018-07-31,,"(35.5258804, -97.57607399999999)"
,,6029,522110,Banks,,Operating,,+1 212 270 6000,1.28695E+11,288474,,,,,,,,,,,,,565414,Oklahoma,,Office,Oklahoma Tower,B,OK,73102,,,,,,,,,,,,,,2725,,2017-03-27,2017-03-27,,,2017-11-01,,,,,,,,,,,,,No,TI,,,,,,,Net,1982,1994,"383 Madison Avenue New York, NY 10179, United States",JPM (NYSE),,2017-01-30,,Oklahoma Tower Realty Investors,2017 - Q1,210 Park Avenue,Oklahoma City,JPMorgan Chase,Office,Public,5668,,20.50,,0.00/1y,,0.0 months,15,17.50,,5 years,2022-10-31,,"(35.4685257, -97.517327)"
Nicole Mayes,NAI Sullivan Group,5013,336320,Legal Services,,Operating,"http://www.dana.com/, https://www.dana.com/",+1 419 887 3000,9874000000,42300,,,,,,,,,,,,2,93176,Oklahoma,,Office,The Registry,B,OK,73112,,,,,,,,,,,,,,299,,2018-04-11,2018-04-11,,,2016-03-01,,,,,,,,,,,,,No,,,,,,,,,1981,,"3939 Technology Dr Maumee, OH 43537-9194, United States",DAN (NYSE),,2015-12-17,,,2015 - Q4,2200 Northwest 50th Street,Oklahoma City,Dana L Gish,Office,Public,861,New Lease,14,,,,,,14, 2,1 years,2017-02-28,,"(35.521841, -97.550541)"
Adrian Lillard/Nicole Mayes,NAI Sullivan Group,9512,541330,Commercial & Professional Service,,Operating,https://www.tetratech.com/,+1 626 351 4664,2450300000,20000,Adrian Lillard/Nicole Mayes,NAI Sullivan Group,,,,,,,,,,,,Oklahoma,,Office,,B,OK,73142,,,,,,,,,,,,,,,,2018-04-11,2018-04-11,,,2018-02-01,,,,,,,,,,,,,No,,,,,,,,,,,"3475 E Foothill Blvd Pasadena, CA 91107-6024, United States",TTEK (NASD),,2017-12-01,,,2017 - Q4,5705 Northwest 132nd Street,Oklahoma City,Tetra Tech,Office,Public,2520,New Lease,15.98,,,,,,15.98,,"1 years,6 months",2019-07-30,,"(35.604961, -97.618226)"
,,6021,522110,Banks,,Operating,https://www.bankofamerica.com/,+1 704 386 5681,90742000000,208000,,,,,,,,,,,,,25373,Oklahoma,,Office,,B,OK,73109,,,,,,,,,,,,,,,,2018-08-09,2018-08-09,,,2018-04-09,,,,,,,,,,,,9.20,No,,,,,,,,NNN,1978,2003,"100 North Tryon Street Charlotte, NC 28255, United States",BAC (NYSE),,2017-12-09,,,2017 - Q4,2701 South Harvey Avenue,Oklahoma City,Bank of America,Office,Public,10744,,9.20,,,,,,9.20,,5 years,2023-04-09,,"(35.438006, -97.519162)"
,,8062,622110,Health Care Equipment & Services,,Operating,http://www.firstphysicianscapitalgroup.com/,+1 310 860 2501,19390000,186,,,,,,,,,,,,3,148699,Oklahoma,,Office,Office Building,A,OK,73134,,,,,,,,,,,,,,,,2019-04-17,2018-08-31,,,2018-11-01,,,,,,,,,,,,20,No,,,,,,,,,2000,,"433 N Camden Dr Ste 810 Beverly Hills, CA 90210-4412, United States",FPCG (OTC),,2018-07-01,,,2018 - Q3,14101-14201 Wireless Way,Oklahoma City,First Physicians Capital,Office,Public,16263,,20,,,,,,20,,6 years,2024-11-01,,"(35.6144164, -97.5801444)"
,,7361,541612,Commercial & Professional Service,,Operating,,+1 650 234 6000,7281030000,14600,,,,,,,,,,,,10,268800,Oklahoma,,Office,Caliber Center,A,OK,73112,,,,,,,,,,,,,,,,2019-04-17,2018-08-31,,,2018-09-01,,,,,,,,,,,,22,No,,,,,,,,,1976,1995,"2884 Sand Hill Road Menlo Park, CA 94025, United States",RHI (NYSE),,2018-05-01,,,2018 - Q2,3817 Northwest Expressway,Oklahoma City,Robert Half International,Office,Public,3625,,22,,,,,,22,,5 years,2023-09-01,,"(35.535782, -97.585832)"
,,3631,326199,Consumer Durables,,Operating,https://www.tupperware.com/,+1 407 826 5050,1886600000,12000,,,,,,,,,,,,,15760,Oklahoma,Flex/R&D,Industrial,,B,OK,73116,,,,,,,,,,,,,,4,,2018-11-15,2018-11-15,,,2018-11-01,,,,,,,,,,,,,No,,,,,12000,,,NNN,1983,,"14901 Orange Blossom Trail S Orlando, FL 32837-6600, United States",TUP (NYSE),,2018-10-01,,,2018 - Q4,832 Northwest 67th Street,Oklahoma City,Tupperware,Office,Public,1600,New Lease,7.50,,,,,,7.50,,"3 years,5 months",2022-03-31,,"(35.540163, -97.525811)"
,,2732,323111,Non-Profit,,Operating,,+1 312 326 8000,4935100000,33000,,,,,,,,,,,,10,92929,Oklahoma,,Office,Commerce Tower,B,OK,74135,,,,,,,,,,,,,,,,2018-11-29,2018-11-29,,,2018-08-01,,,,,,,,,,,,,No,,,,,,,,,1981,,"35 W Wacker Dr Chicago, IL 60601-1723, United States",RRD (NYSE),,2018-04-01,,,2018 - Q2,5801 East 41st Street,Tulsa,R & R Counseling Service,Office,Public,574,,12,,,,,,12,,2 years,2020-08-01,,"(36.104428, -95.911806)"
